List Name,Card Name,Labels,Description
✅ Hecho,Backend base de microservicios operativo,Backend,"8 servicios (auth, productos, carrito, pedidos, pago, despacho, notificaciones, reportes) + Eureka + API Gateway."
✅ Hecho,Eliminar ms-certificacion,Backend,Servicio descartado por no aportar al negocio; referencias limpiadas.
✅ Hecho,Flujo pago → despacho → notificación (Feign),Backend,"Coreografía best-effort entre ms-pago, ms-despacho y ms-notificaciones."
✅ Hecho,Analítica de ventas en ms-reportes,Backend,Consume pedidos/pago por Feign; endpoints JSON + export Excel (POI).
✅ Hecho,Definir modelo de negocio: tienda única,Negocio,Decisión: un solo dueño vendedor (no marketplace).
✅ Hecho,Acta de Constitución,Negocio,"Documento aprobado (v2.1, hitos con fechas)."
✅ Hecho,Propuesta de Solución,Negocio,"Incluye despacho/courier, sitio web y agente WhatsApp."
✅ Hecho,Plan de Proyecto + Carta Gantt,Negocio,WBS 7 fases + cronograma con fechas.
✅ Hecho,Presupuesto detallado (con fuentes),Negocio,"Excel con fórmulas y hoja Fuentes (INAPI, NIC, Transbank, Meta, Anthropic, AWS)."
✅ Hecho,Plan de Marketing,Marketing,"Go-to-market: canales, embudo Meta Ads, KPIs."
✅ Hecho,Documentación organizada en Google Drive,Negocio,Carpeta 'Pyval — Documentación del Proyecto'.
🔨 En progreso,Cierre de la Fase 1 (Planificación),Negocio,Falta Plan de Riesgos y Plan de Pruebas.
🔨 En progreso,Commit del trabajo (código + docs) en Git,Backend,Pendiente: guardar todo en main. Establecer ramas main/develop/feature.
📋 Por hacer (próximo),Plan de Gestión de Riesgos,Negocio,Matriz probabilidad × impacto + planes de mitigación/contingencia.
📋 Por hacer (próximo),Plan de Pruebas,Pruebas,"Estrategia: unitarias, integración, e2e, conversacional, carga, seguridad, UAT."
📋 Por hacer (próximo),Iniciar trámites externos (temprano),Legal,"SII, verificación WhatsApp Business y constitución: arrancar en semana 1 para no bloquear el go-live."
📥 Backlog,Constituir empresa (SpA),Legal,Vía Empresa en un Día (registrodeempresasysociedades.cl).
📥 Backlog,Inicio de actividades en el SII,Legal,Habilitar emisión de boleta/factura electrónica.
📥 Backlog,Registrar marca en INAPI,Legal,1 clase = 3 UTM (~$212.000) + publicación Diario Oficial.
